Code,Title,Industry,Vertical,Canton,Spin-offs,City,Year,Highlights,Gender CEO,OOB,Funded,Comment
CHE-380.263.252,Antefil Composite Tech AG,micro / nano,,ZH,ETH,Zürich,2022.0,"Winner Venture Kick, Top 100 Swiss Startup Award 2024",Male,0.0,1.0,
CHE-480.397.752,NaturLoop AG,cleantech,,BE,Berner Fachhochschule,,2020.0,Winner Venture Kick,Male,0.0,1.0,
CHE-358.791.231,Akina AG,healthcare IT,,ZH,ETH,Zürich,2021.0,"Winner Venture Kick, Top 100 Swiss Startup Award 2023",Male,0.0,1.0,
CHE-325.358.554,Neurosoft Bioelectronics SA,medtech,,GE,EPFL,Chambésy,2020.0,"Top 100 Swiss Startup Award 2022, Innosuisse Certificate, Top 100 Swiss Startup Award 2024",Male,0.0,1.0,
CHE-382.422.099,School Rebound SA,ICT,,VD,EPFL,Ecublens,2021.0,Winner Venture Kick,Male,0.0,1.0,
CHE-304.999.902,Seprify AG,cleantech,,FR,Université de Fribourg,Marly,2022.0,"Top 100 Swiss Startup Award 2023, Winner Venture Kick, Top 100 Swiss Startup Award 2024",Male,0.0,1.0,
CHE-408.956.499,Correntics AG,ICT,,Zürich,,Zurich,2021.0,Top 100 Swiss Startup Award 2022,Male,0.0,1.0,
CHE-461.073.272,Bottneuro AG,healthcare IT,,Basel-Stadt,Universität Basel,Basel,2021.0,"Winner Venture Kick, Top 100 Swiss Startup Award 2024",Male,0.0,1.0,
CHE-483.657.895,SurgeonsLab AG,healthcare IT,,Bern,Universität Bern,,2021.0,Winner Venture Kick,Male,0.0,1.0,
CHE-317.401.567,MARK Investment Holding AG,ICT (fintech),,ZG,,Zug,2021.0,"Winner Venture Kick, Top 100 Swiss Startup Award 2023, Top 100 Swiss Startup Award 2024",Male,0.0,1.0,
CHE-391.333.678,AtlasVR AG,ICT,,UR,ETH,Flüelen,2021.0,Winner Venture Kick,Male,0.0,1.0,
CHE-489.454.994,Vamoz AG,ICT,,Zürich,HSG,Zurich,2022.0,Winner Venture Kick,Male,0.0,1.0,
